2017:04:15 11:20:44.605 INFO  --> [main] com.ygsoft.WebshowApplication : Starting WebshowApplication on jeff-H55H-CM with PID 5654 (/home/jeff/git4sts/xresearch4webshow/webshow/target/classes started by jeff in /home/jeff/git4sts/xresearch4webshow/webshow) 
2017:04:15 11:20:44.612 INFO  --> [main] com.ygsoft.WebshowApplication : No active profile set, falling back to default profiles: default 
2017:04:15 11:20:44.804 INFO  --> [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@67a20f67: startup date [Sat Apr 15 11:20:44 KST 2017]; root of context hierarchy 
2017:04:15 11:20:45.352 INFO  --> [main] o.s.b.f.s.DefaultListableBeanFactory : Overriding bean definition for bean 'beanNameViewResolver' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/ErrorMvcAutoConfiguration$WhitelabelErrorViewConfiguration.class]] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter; factoryMethodName=beanNameViewResolver; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter.class]] 
2017:04:15 11:20:45.544 INFO  --> [main] o.s.b.f.a.AutowiredAnnotationBeanPostProcessor : JSR-330 'javax.inject.Inject' annotation found and supported for autowiring 
2017:04:15 11:20:45.908 INFO  --> [main] o.s.b.c.e.t.TomcatEmbeddedServletContainer : Tomcat initialized with port(s): 8080 (http) 
2017:04:15 11:20:45.919 INFO  --> [main] o.a.catalina.core.StandardService : Starting service Tomcat 
2017:04:15 11:20:45.920 INFO  --> [main] o.a.catalina.core.StandardEngine : Starting Servlet Engine: Apache Tomcat/8.0.30 
2017:04:15 11:20:46.128 INFO  --> [localhost-startStop-1] o.a.c.c.C.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext 
2017:04:15 11:20:46.129 INFO  --> [localhost-startStop-1] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 1325 ms 
2017:04:15 11:20:46.370 INFO  --> [localhost-startStop-1] o.s.b.c.e.ServletRegistrationBean : Mapping servlet: 'dispatcherServlet' to [/] 
2017:04:15 11:20:46.374 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2017:04:15 11:20:46.375 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'hiddenHttpMethodFilter' to: [/*] 
2017:04:15 11:20:46.375 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'httpPutFormContentFilter' to: [/*] 
2017:04:15 11:20:46.375 INFO  --> [localhost-startStop-1] o.s.b.c.e.FilterRegistrationBean : Mapping filter: 'requestContextFilter' to: [/*] 
2017:04:15 11:20:46.619 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerAdapter : Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@67a20f67: startup date [Sat Apr 15 11:20:44 KST 2017]; root of context hierarchy 
2017:04:15 11:20:46.679 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/]}" onto java.lang.String com.ygsoft.webshow.controller.Hell.home() 
2017:04:15 11:20:46.681 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse) 
2017:04:15 11:20:46.682 INFO  --> [main] o.s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest) 
2017:04:15 11:20:46.707 INFO  --> [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
2017:04:15 11:20:46.708 INFO  --> [main] o.s.w.s.h.SimpleUrlHandlerMapping : Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler] 
